idx,word,occurrences
0,hour,925
1,cancel,851
2,help,822
3,servic,779
4,delay,771
5,time,752
6,custom,746
7,bag,620
8,call,617
9,im,588
10,wait,585
11,plane,579
12,us,555
13,fli,552
14,hold,551
15,need,535
16,go,514
17,amp,501
18,whi,490
19,cant,462
20,tri,461
21,still,458
22,one,458
23,would,453
24,airlin,448
25,day,441
26,pleas,438
27,back,423
28,gate,422
29,flightl,411
30,make,403
31,dont,400
32,seat,385
33,book,384
34,got,377
35,phone,376
36,ha,371
37,chang,361
38,guy,355
39,like,353
40,check,352
41,today,344
42,late,341
43,$,340
44,ani,338
45,miss,330
46,work,328
47,agent,326
48,ticket,324
49,know,319
50,take,301
51,travel,292
52,way,291
53,airport,288
54,minut,281
55,onli,279
56,board,272
57,say,270
58,want,266
59,great,265
60,never,259
61,ive,259
62,becaus,257
63,problem,256
64,hr,255
65,u,253
66,connect,250
67,min,250
68,even,250
69,last,247
70,tomorrow,243
71,weather,241
72,issu,239
73,good,239
74,realli,238
75,home,235
76,love,233
77,use,233
78,peopl,227
79,look,223
80,rebook,222
81,let,222
82,aa,220
83,see,219
84,email,217
85,sit,217
86,anoth,216
87,unit,214
88,number,209
89,reserv,205
90,told,205
91,new,204
92,give,201
93,luggag,201
94,first,199
95,veri,196
96,crew,194
97,hope,194
98,lost,194
99,passeng,193
100,could,190
101,much,190
102,due,190
103,worst,189
104,dm,189
105,baggag,188
106,someon,187
107,respons,184
108,ever,184
109,ye,183
110,trip,182
111,next,180
112,two,176
113,experi,176
114,tell,174
115,ua,171
116,right,171
117,befor,171
118,didnt,169
119,well,168
120,leav,166
121,line,164
122,keep,162
123,made,161
124,best,160
125,follow,157
126,answer,156
127,onlin,155
128,come,155
129,“,152
130,arriv,151
131,left,151
132,think,150
133,pay,150
134,week,150
135,doe,149
136,better,148
137,land,147
138,sure,147
139,bad,146
140,sent,145
141,hi,145
142,alreadi,145
143,updat,144
144,sinc,142
145,staff,142
146,said,142
147,find,141
148,refund,141
149,long,139
150,ill,138
151,wont,137
152,doesnt,136
153,stuck,135
154,system,135
155,morn,134
156,flightr,134
157,jfk,133
158,tonight,131
159,mile,131
160,w,130
161,flt,129
162,attend,129
163,yet,129
164,websit,128
165,ask,128
166,appreci,128
167,happen,128
168,care,127
169,show,127
170,busi,125
171,hotel,125
172,noth,122
173,fleet,122
174,fleek,121
175,night,119
176,put,118
177,year,118
178,’,117
179,pilot,117
180,air,117
181,disappoint,116
182,fix,116
183,info,116
184,final,116
185,confirm,115
186,jetblu,115
187,upgrad,114
188,credit,113
189,fail,113
190,done,113
191,voucher,112
192,talk,112
193,send,111
194,dfw,111
195,person,111
196,offer,110
197,rude,110
198,avail,109
199,frustrat,109
200,anyth,109
201,charg,108
202,ago,108
203,nice,108
204,thing,107
205,free,105
206,also,104
207,abl,100
208,tweet,99
209,option,99
210,anyon,99
211,pass,98
212,rep,98
213,contact,98
214,employe,97
215,lax,97
216,understand,97
217,awesom,95
218,differ,94
219,point,94
220,start,93
221,phl,92
222,stop,92
223,terribl,92
224,mani,91
225,speak,90
226,claim,90
227,class,90
228,app,90
229,everi,90
230,yesterday,90
231,fee,89
232,team,89
233,statu,89
234,suppos,89
235,wifi,88
236,actual,88
237,suck,88
238,id,87
239,thx,86
240,open,85
241,alway,83
242,receiv,82
243,without,82
244,name,82
245,departur,81
246,couldnt,81
247,earli,80
248,kid,80
249,plan,80
250,deal,79
251,bc,79
252,direct,79
253,sorri,79
254,friend,79
255,schedul,79
256,havent,79
257,site,78
258,reason,78
259,via,77
260,isnt,77
261,amaz,77
262,though,77
263,paid,77
264,seem,76
265,mean,76
266,polici,76
267,job,76
268,sfo,75
269,la,75
270,almost,75
271,chanc,75
272,money,75
273,extra,75
274,lot,75
275,allow,74
276,ridicul,74
277,strand,74
278,provid,74
279,dca,74
280,snow,74
281,pick,73
282,return,73
283,move,73
284,airway,73
285,clt,73
286,took,72
287,american,72
288,messag,72
289,depart,72
290,add,72
291,happi,71
292,account,71
293,ok,71
294,everyon,71
295,hung,71
296,destinationdragon,71
297,unaccept,71
298,ground,71
299,card,70
300,apolog,70
301,repli,70
302,rt,70
303,southwest,70
304,compani,70
305,famili,70
306,member,70
307,mechan,70
308,ord,70
309,possibl,69
310,lose,69
311,dalla,69
312,least,69
313,yall,69
314,instead,69
315,boston,68
316,month,68
317,expect,68
318,run,68
319,wasnt,68
320,tarmac,67
321,feel,67
322,respond,67
323,earlier,67
324,inform,66
325,poor,66
326,denver,66
327,assist,66
328,horribl,66
329,vega,66
330,someth,65
331,stay,65
332,caus,65
333,wife,65
334,cost,65
335,b,65
336,question,64
337,vacat,64
338,full,64
339,found,64
340,treat,64
341,oh,63
342,wrong,63
343,hang,63
344,enough,63
345,serious,62
346,”,62
347,request,62
348,end,62
349,bo,62
350,chicago,61
351,away,61
352,far,61
353,san,61
354,mayb,60
355,three,60
356,desk,60
357,old,60
358,went,60
359,reschedul,59
360,@,59
361,ewr,59
362,count,58
363,price,58
364,past,58
365,wonder,57
366,complet,57
367,ur,57
368,half,57
369,car,57
370,might,56
371,gave,56
372,destin,56
373,handl,56
374,food,56
375,link,56
376,flightlat,56
377,compens,54
378,big,54
379,hey,54
380,nyc,54
381,guess,54
382,pl,53
383,termin,53
384,twitter,53
385,less,53
386,charlott,53
387,switch,52
388,sleep,52
389,may,52
390,iad,52
391,littl,52
392,current,52
393,wors,52
394,twice,51
395,aw,51
396,comput,51
397,drive,51
398,runway,51
399,complaint,51
400,togeth,51
401,given,50
402,longer,50
403,bring,50
404,thru,50
405,lol,49
406,dc,49
407,hear,49
408,els,49
409,intern,49
410,row,49
411,error,49
412,broken,48
413,cool,48
414,place,48
415,idea,48
416,commun,48
417,onc,48
418,around,48
419,rout,47
420,plu,47
421,room,47
422,head,47
423,watch,47
424,citi,47
425,cust,47
426,fare,47
427,soon,46
428,checkin,46
429,thought,46
430,live,46
431,jet,46
432,reach,46
433,disconnect,46
434,heard,46
435,dure,46
436,drop,46
437,second,46
438,lack,45
439,leg,45
440,houston,45
441,carri,45
442,address,45
443,usairway,45
444,total,45
445,believ,45
446,newark,44
447,load,44
448,accept,44
449,process,44
450,weve,44
451,youv,44
452,share,44
453,reflight,43
454,standbi,43
455,figur,43
456,purchas,43
457,life,43
458,origin,43
459,deliv,43
460,explain,43
461,club,42
462,+,42
463,absolut,42
464,phx,42
465,philli,42
466,real,42
467,loyal,42
468,everyth,42
469,joke,42
470,quick,42
471,fll,42
472,form,42
473,announc,41
474,mainten,41
475,hard,41
476,turn,41
477,pm,41
478,close,41
479,locat,41
480,iah,41
481,arent,41
482,wouldnt,41
483,swa,41
484,wast,40
485,file,40
486,worri,40
487,ad,40
488,miami,40
489,wish,40
490,human,40
491,sat,40
492,world,40
493,unitedairlin,39
494,resolv,39
495,refus,39
496,glad,39
497,lga,39
498,usair,39
499,monday,39
500,oper,39
501,na,38
502,flyer,38
503,rather,38
504,blue,38
505,word,38
506,flew,38
507,entir,38
508,ceo,38
509,award,37
510,hate,37
511,companion,37
512,concern,37
513,mess,37
514,screw,37
515,inconveni,37
516,lie,37
517,read,37
518,date,37
519,group,37
520,empti,37
521,correct,36
522,yeah,36
523,bwi,36
524,theyr,36
525,forward,36
526,safe,36
527,list,36
528,fuck,36
529,appar,35
530,kind,35
531,tv,35
532,ruin,35
533,beyond,35
534,taken,35
535,spent,35
536,wow,35
537,tuesday,35
538,futur,35
539,pretti,35
540,counter,34
541,continu,34
542,report,34
543,upset,34
544,okay,34
545,fact,34
546,fine,34
547,suggest,34
548,manag,34
549,sunday,34
550,forc,33
551,detail,33
552,extrem,33
553,easi,33
554,submit,33
555,case,33
556,support,33
557,train,33
558,cross,33
559,super,33
560,fill,33
561,probabl,33
562,whole,33
563,spend,33
564,autom,32
565,delta,32
566,sw,32
567,media,32
568,sever,32
569,relat,32
570,situat,32
571,fault,32
572,luv,32
573,buy,32
574,c,32
575,asap,31
576,unfortun,31
577,either,31
578,shit,31
579,part,31
580,sad,31
581,except,31
582,den,31
583,high,31
584,expir,31
585,atl,31
586,set,31
587,access,31
588,storm,31
589,control,30
590,sign,30
591,inflight,30
592,nashvil,30
593,rdu,30
594,reimburs,30
595,meet,30
596,flown,30
597,post,30
598,promis,30
599,weekend,30
600,cloth,30
601,notic,30
602,bought,30
603,rock,30
604,luck,30
605,cold,30
606,cabin,30
607,supervisor,30
608,front,30
